Date,Rice,Wheat,Maize,Potatoes,Onions
2008-01-01 00:00:00,195.5,231.4,234.3,246.7,173.3
2008-02-01 00:00:00,196.8,232.6,237.2,216.6,160.5
2008-03-01 00:00:00,198.9,233.4,244.5,226.1,167.5
2008-04-01 00:00:00,201.7,233.4,246.0,214.9,167.0
2008-05-01 00:00:00,200.8,232.6,246.4,214.1,153.3
2008-06-01 00:00:00,200.7,233.8,254.6,211.3,171.7
2008-07-01 00:00:00,203.1,240.8,252.5,231.0,182.1
2008-08-01 00:00:00,203.2,239.9,252.6,237.3,220.2
2008-09-01 00:00:00,203.0,241.7,249.8,241.4,224.6
2008-10-01 00:00:00,214.9,238.5,254.4,243.6,228.7
2008-11-01 00:00:00,218.5,239.3,258.9,240.9,259.8
2008-12-01 00:00:00,222.2,240.9,254.4,195.8,273.3
2009-01-01 00:00:00,225.2,243.6,264.5,177.0,321.9
2009-02-01 00:00:00,230.5,246.8,268.4,178.1,305.2
2009-03-01 00:00:00,232.2,244.2,269.4,201.9,287.4
2009-04-01 00:00:00,231.3,246.8,277.7,249.1,233.3
2009-05-01 00:00:00,233.8,249.9,282.2,282.7,232.6
2009-06-01 00:00:00,235.8,249.0,287.3,337.2,231.4
2009-07-01 00:00:00,237.4,248.6,291.3,395.9,230.5
2009-08-01 00:00:00,238.8,247.6,299.9,405.8,229.5
2009-09-01 00:00:00,244.8,253.4,298.1,445.6,242.6
2009-10-01 00:00:00,245.6,260.7,294.8,483.8,304.4
2009-11-01 00:00:00,248.0,279.7,297.8,479.1,357.4
2009-12-01 00:00:00,251.7,288.1,295.1,363.6,370.2
2010-01-01 00:00:00,253.3,289.7,294.4,255.3,369.3
2010-02-01 00:00:00,252.5,288.9,292.5,221.9,344.5
2010-03-01 00:00:00,251.3,280.6,291.0,185.8,242.4
2010-04-01 00:00:00,252.2,267.2,291.2,180.4,214.9
2010-05-01 00:00:00,251.4,265.3,290.1,195.9,203.5
2010-06-01 00:00:00,252.0,268.5,304.7,210.7,220.4
2010-07-01 00:00:00,254.7,269.6,315.4,225.8,225.4
2010-08-01 00:00:00,256.4,270.2,321.1,211.2,237.3
2010-09-01 00:00:00,166.6,171.6,168.1,139.3,204.8
2010-10-01 00:00:00,168.7,168.2,167.2,153.3,278.4
2010-11-01 00:00:00,170.3,172.7,171.1,154.7,343.7
2010-12-01 00:00:00,171.1,173.3,171.9,171.5,469.3
2011-01-01 00:00:00,170.6,175.2,174.7,128.7,619.4
2011-02-01 00:00:00,170.4,177.1,183.1,108.3,260.6
2011-03-01 00:00:00,167.0,173.1,191.9,106.9,179.1
2011-04-01 00:00:00,167.3,169.2,202.8,109.1,156.9
2011-05-01 00:00:00,169.7,167.4,208.6,118.2,150.3
2011-06-01 00:00:00,169.0,168.7,207.2,125.9,174.4
2011-07-01 00:00:00,169.9,170.8,205.7,143.1,200.9
2011-08-01 00:00:00,172.9,168.9,209.3,154.8,244.8
2011-09-01 00:00:00,173.3,166.9,201.1,159.2,257.6
